Date,Open,High,Low,Close,Adj Close,Volume
2005-09-30,116.233574,116.909348,115.557793,116.233574,75.169098,17994112
2005-10-03,114.882019,116.909348,114.206245,114.882019,74.295044,30187491
2005-10-04,118.260902,119.612457,116.233574,118.260902,76.480179,78909215
2005-10-05,118.936676,120.288231,117.585129,118.936676,76.917206,14405648
2005-10-06,117.585129,118.260902,116.909348,117.585129,76.043159,6555420
2005-10-07,116.909348,117.585129,116.233574,116.909348,75.606125,9818333
2005-10-10,115.557793,117.585129,115.557793,115.557793,74.732056,2360247
2005-10-11,115.557793,115.557793,114.882019,115.557793,74.732056,8849078
2005-10-12,118.260902,118.260902,116.233574,118.260902,76.480179,17727752
2005-10-13,115.557793,117.585129,115.557793,115.557793,74.732056,4779686
2005-10-14,116.233574,116.909348,115.557793,116.233574,75.169098,1102435
2005-10-17,116.233574,116.233574,114.882019,114.882019,74.295044,1960707
2005-10-18,115.557793,116.233574,115.557793,115.557793,74.732056,3233317
2005-10-19,113.530464,115.557793,112.854691,113.530464,73.420982,8945264
2005-10-20,114.206245,114.882019,114.206245,114.882019,74.295044,2389843
2005-10-21,114.206245,114.206245,113.530464,114.206245,73.858002,2086488
2005-10-24,114.206245,115.557793,114.206245,114.206245,73.858002,4098987
2005-10-25,114.882019,114.882019,112.178909,114.206245,73.858002,8175778
2005-10-26,114.206245,114.206245,113.530464,114.206245,73.858002,1575964
2005-10-27,113.530464,113.530464,113.530464,113.530464,73.420982,1516773
2005-10-28,111.503136,112.854691,110.827362,111.503136,72.109879,3188923
2005-10-31,110.827362,112.178909,110.827362,110.827362,71.672852,961856
2005-11-01,112.854691,112.854691,110.827362,112.854691,72.983940,2101286
2005-11-07,112.854691,112.854691,112.854691,112.854691,72.983940,0
2005-11-08,112.854691,112.854691,112.854691,112.854691,72.983940,0
2005-11-09,111.503136,111.503136,108.124252,108.124252,69.924736,2796782
2005-11-10,110.151581,110.151581,108.124252,110.151581,71.235825,813878
2005-11-11,108.124252,108.124252,108.124252,108.124252,69.924736,155376
2005-11-14,104.069595,106.096924,104.069595,104.069595,67.302574,1109834
2005-11-15,101.366486,103.393814,100.690712,101.366486,65.554443,2523023
2005-11-16,100.690712,101.366486,100.014931,100.690712,65.117416,1709144
2005-11-17,100.014931,100.690712,98.663383,100.014931,64.680382,1317003
2005-11-18,102.042267,102.718040,100.690712,102.042267,65.991463,10684004
2005-11-21,102.042267,104.069595,102.042267,102.042267,65.991463,3751239
2005-11-22,102.718040,104.745369,100.014931,102.718040,66.428505,32177794
2005-11-23,101.366486,103.393814,101.366486,101.366486,65.554443,10025502
2005-11-24,103.393814,104.069595,102.042267,103.393814,66.865532,8486532
2005-11-25,104.745369,113.530464,104.745369,112.178909,72.546913,110776255
